KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
X KOTO,14816,3437,18253
SUNGAI TARAB,11803,2642,14445
GUNUNG TALANG,19944,3412,23356
TANJUNG EMAS,9512,2338,11850
BATIPUAH SELATAN,5057,822,5879
SUNGAYANG,6180,2312,8492
SALIMPAUANG,8057,1692,9749
LUBUK ALUNG,14807,3443,18250
RAMBATAN,13817,2801,16618
TANJUANG BARU,5799,948,6747
LIMA KAUM,15118,3139,18257
LUBUAK TAROK,4601,2626,7227
SIJUNJUNG,16417,4014,20431
KAMANG BARU,14311,6826,21137
2 X 11 ENAM LINGKUNG,5922,2390,8312
LINTAU BUO,5338,3689,9027
SINTUAK TOBOH GADANG,6880,1660,8540
KUPITAN,4641,1234,5875
PATAMUAN,5676,1688,7364
BATANG ANAI,14936,3786,18722
PADANG GANTING,4988,2093,7081
IV KOTO AUR MALINTANG,6398,1674,8072
V KOTO TIMUR,5615,1130,6745
BATANG GASAN,4503,811,5314
TANJUNG MUTIARA,0,0,0
SUNGAI LIMAU,10420,2269,12689
SUNGAI GARINGGING,8524,3051,11575
NAN SABARIS,10825,2050,12875
2 X 11 KAYU TANAM,8807,2678,11485
BATIPUH,10613,2865,13478
TILATANG KAMANG,14173,2953,17126
ULAKAN TAPAKIH,6696,1771,8467
PADANG SAGO,3017,1001,4018
KAMANG MAGEK,9425,1691,11116
BANUHAMPU,14317,2522,16839
V KOTO KAMPUNG DALAM,8863,1924,10787
ENAM LINGKUNG,7414,1835,9249
PALUPUH,5158,1242,6400
AMPEK NAGARI,8612,2306,10918
BASO,12864,2871,15735
CANDUNG,8670,1787,10457
VII KOTO SUNGAI SARIK,11635,4194,15829
SUNGAI PUA,9093,1753,10846
TANJUNG RAYA,13017,2843,15860
IV KOTO,9894,1639,11533
PELEMBAYAN,11355,2205,13560
BUKIK BARISAN,9332,1789,11121
IV ANGKAT CANDUNG,15606,3746,19352
GUNUANG OMEH,4834,1426,6260
LAREH SAGO HALABAN,14331,4617,18948
PAYAKUMBUH,12815,2761,15576
SITUJUAH LIMO NAGARI,8640,2074,10714
MATUR,7477,1340,8817
MALALAK,3628,613,4241
LUBUK BASUNG,23529,6334,29863
MUNGKA,9650,2084,11734
RAO UTARA,4623,1040,5663
KAPUR IX,8460,2862,11322
SULIKI,5588,1711,7299
HARAU,17964,4949,22913
PANTI,9871,3635,13506
BONJOL,8207,1880,10087
PANGKALAN KOTO BARU,10502,2272,12774
LUAK,11062,2388,13450
SIMPANG ALAHAN MATI,3971,661,4632
PADANG GELUGUR,10148,2766,12914
MAPAT TUNGGUL SELATAN,3120,1120,4240
GUGUAK,13440,4045,17485
DUO KOTO,7767,3060,10827
SIBERUT SELATAN,0,0,0
SIBERUT BARAT DAYA,0,0,0
LUBUK SIKAPING,19038,3231,22269
RAO,7961,3385,11346
TIGO NAGARI,7644,1702,9346
AKABILURU,10465,1721,12186
SIKAKAP,0,0,0
MAPAT TUNGGUL,2915,1845,4760
KOTO SALAK,5324,4371,9695
PAGAI UTARA,0,0,0
SIBERUT BARAT,0,0,0
PULAU PUNJUNG,14604,4167,18771
SIBERUT TENGAH,0,0,0
SIPORA UTARA,0,0,0
SITIUNG,9578,3881,13459
RAO SELATAN,8978,2319,11297
SIBERUT UTARA,0,0,0
SIPORA SELATAN,0,0,0
TIMPEH,4678,3173,7851
SANGIR JUJUAN,5340,1078,6418
PADANG LAWEH,1983,1169,3152
TIUMANG,3588,3345,6933
SANGIR BATANG HARI,4920,2411,7331
LUHAK NAN DUO,13729,5522,19251
PAGAI SELATAN,0,0,0
KOTO BESAR,7452,4523,11975
RANAH BATAHAN,9098,3287,12385
SANGIR,13722,4466,18188
ASAM JUJUHAN,4257,1595,5852
KOTO BARU,11072,4531,15603
PAUH DUO,6413,1616,8029
GUNUNG TULEH,0,0,0
SUNGAI AUA,10071,4072,14143
PADANG SELATAN,18798,9241,28039
SANGIR BALAI JANGGO,6212,2771,8983
SUNGAI RUMBAI,5003,4837,9840
SASAK RANAH PESISIA,4940,1703,6643
KOTO BALINGKA,8334,3546,11880
KOTO PARIK GADANG DIATEH,7881,2064,9945
SEMBILAN KOTO,2602,1145,3747
PAUH,22107,4039,26146
TALAMAU,11156,1890,13046
NANGGALO,21193,5640,26833
KURANJI,49937,9780,59717
BUNGUS TELUK KABUNG,8788,1516,10304
PADANG UTARA,20697,5443,26140
LUBUK BEGALUNG,40781,10537,51318
SUNGAI PAGU,11577,2697,14274
SUNGAI BEREMAS,7121,1775,8896
TANJUNG HARAPAN,11256,2426,13682
PADANG TIMUR,29436,7665,37101
PADANG PANJANG BARAT,10980,2616,13596
PADANG BARAT,14282,8106,22388
PASAMAN,23134,5883,29017
LEMBAH MELINTANG,14078,3312,17390
KINALI,20039,8905,28944
PADANG PANJANG TIMUR,7967,1786,9753
LUBUK KILANGAN,18849,4298,23147
LEMBAH SEGAR,5128,1387,6515
PAYAKUMBUH BARAT,17746,4672,22418
KOTO TANGAH,59982,17433,77415
BARANGIN,7000,2017,9017
LUBUK SIKARAH,14393,2644,17037
BANGKINANG,13629,3037,16666
PARIAMAN TIMUR,6606,1123,7729
LAMPOSI TIGO NAGORI,3908,796,4704
PARIAMAN SELATAN,6952,1198,8150
RUMBIO JAYA,6378,1933,8311
TALAWI,7466,2165,9631
SILUNGKANG,3880,1097,4977
PAYAKUMBUH UTARA,11739,2515,14254
SALO,7392,2835,10227
PAYAKUMBUH TIMUR,9517,2883,12400
PARIAMAN UTARA,7904,1652,9556
GUGUAK PANJANG,14470,3681,18151
GUNUNG SAHILAN,3496,5186,8682
AUR BIRUGO TIGO BALEH,9145,1894,11039
PERHENTIAN RAJA,4377,3512,7889
KAMPAR,21187,3084,24271
SIAK HULU,26069,15156,41225
KAMPAR TIMUR,9819,2174,11993
KAMPAR KIRI TENGAH,6778,7583,14361
KAMPAR KIRI HULU,3018,2676,5694
PAYAKUMBUH SELATAN,4221,884,5105
PARIAMAN TENGAH,12517,2697,15214
TAPUNG HILIR,11596,14887,26483
TAMBANG,24850,7197,32047
KUALA CENAKU,3081,2684,5765
KAMPAR KIRI HILIR,2927,2378,5305
KUOK,8927,2144,11071
BANGKINANG SEBERANG,11190,4604,15794
TAPUNG HULU,13569,23052,36621
LIRIK,4756,6406,11162
BATANG CENAKU,6179,10963,17142
RAKIT KULIM,2964,5331,8295
LUBUK BATU JAYA,4383,6048,10431
KAMPAR UTARA,8313,1015,9328
KAMPAR KIRI,6538,6706,13244
BATANG PERANAP,1451,3724,5175
RENGAT BARAT,10154,10050,20204
BENGKALIS,16789,19492,36281
MANDAU,62864,48405,111269
PASIR PENYU,7817,6499,14316
XIII KOTO KAMPAR,7865,3407,11272
TAPUNG,20749,21824,42573
PERANAP,5137,7276,12413
BATANG GANGSAL,2930,8765,11695
BUKIT BATU,7195,8878,16073
KELAYANG,5024,6316,11340
RENGAT,13895,7258,21153
SUNGAI LALA,2980,3760,6740
KOTO KAMPAR HULU,6013,3739,9752
BANTAN,6261,12783,19044
SIBERIDA,9303,12380,21683
SIAK KECIL,4122,6616,10738
PULAU BURUNG,3662,6237,9899
TELUK BELENGKONG,1831,4209,6040
PELANGIRAN,7530,10750,18280
RUPAT UTARA,2010,4412,6422
ENOK,5876,9762,15638
TEMBILAHAN,16782,15154,31936
TEMBILAHAN HULU,8262,9519,17781
RETEH,6818,11872,18690
KEMUNING,5547,9778,15325
RUPAT,4639,10921,15560
PINGGIR,12781,29362,42143
BANDAR SEI KIJANG,3431,4035,7466
KUALA KAMPAR,2199,5971,8170
GAUNG ANAK SERKA,3727,5167,8894
GAUNG,3890,10251,14141
UKUI,6226,11287,17513
SUNGAI BATANG,1866,3041,4907
KEMPAS,7234,9230,16464
CONCONG,1902,2585,4487
KATEMAN,6148,11228,17376
LANGGAM,4440,6402,10842
MANDAH,6031,9066,15097
KUALA INDRAGIRI,2120,3762,5882
BATANG TUAKA,5321,4658,9979
TANAH MERAH,4265,6252,10517
KERITANG,8712,19039,27751
PANGKALAN LESUNG,5190,7422,12612
TEMPULING,6121,7074,13195
BANDAR PETALANGAN,3584,4257,7841
UJUNG BATU,10220,8410,18630
PELALAWAN,2747,3972,6719
KABUN,5662,6036,11698
TELUK MERANTI,2956,4559,7515
RAMBAH HILIR,10506,9196,19702
TANDUN,6095,7593,13688
PANGKALAN KURAS,9447,13425,22872
KEPENUHAN HULU,4936,3645,8581
BUNUT,2619,3288,5907
BANGUN PURBA,4772,4503,9275
KERUMUTAN,6079,5294,11373
TAMBUSAI,9690,15701,25391
RAMBAH,16335,5770,22105
BONAI DARUSSALAM,4331,7374,11705
KUNTO DARUSSALAM,9138,9687,18825
BATU HAMPAR,1519,2243,3762
SIMPANG KANAN,5009,7837,12846
PANGKALAN KERINCI,18025,15584,33609
TANAH PUTIH TANJUNG MELAWAN,3084,3173,6257
RANTAU KOPAR,1853,1322,3175
PAGARAN TAPAH DARUSSALAM,2472,2610,5082
TAMBUSAI UTARA,10511,27182,37693
PEKAITAN,1990,6877,8867
PENDALIAN IV KOTO,3029,3031,6060
TANAH PUTIH,11955,14995,26950
KUBU BABUSSALAM,3401,6403,9804
RAMBAH SAMO,8552,7015,15567
KEPENUHAN,6899,3528,10427
ROKAN IV KOTO,6808,4731,11539
BAGAN SINEMBAH,28025,36760,64785
BANGKO,19000,18967,37967
PASIR LIMAU KAPAS,4920,10135,15055
KUBU,3811,6624,10435
SABAK AUH,2828,2668,5496
SINABOI,2307,4039,6346
RIMBA MELINTANG,6396,10380,16776
BUNGA RAYA,5464,6569,12033
MINAS,5636,5502,11138
BANGKO PUSAKO,8998,17643,26641
SUNGAI APIT,5613,7568,13181
PUJUD,11948,22239,34187
HULU KUANTAN,1913,1913,3826
KUANTAN HILIR SEBERANG,2058,4193,6251
KUANTAN MUDIK,6920,4427,11347
KANDIS,9204,18538,27742
MEMPURA,4380,2374,6754
PUSAKO,1768,1188,2956
LOGAS TANAH DARAT,4216,6376,10592
SIAK,6738,4063,10801
KERINCI KANAN,4978,6490,11468
CERENTI,3551,3203,6754
GUNUNGTOAR,4098,2314,6412
INUMAN,2407,4376,6783
PANGEAN,4788,4219,9007
KOTO GASIB,4646,3688,8334
RANGSANG BARAT,3045,5253,8298
SUNGAI MANDAU,2029,1366,3395
DAYUN,5753,7306,13059
LUBUK DALAM,3304,5382,8686
SINGINGI HILIR,7107,10333,17440
SENTAJO RAYA,7298,7780,15078
TEBING TINGGI,11280,14905,26185
BENAI,4613,3492,8105
TUALANG,27533,17667,45200
SUKAJADI,14226,6524,20750
TAMPAN,46591,16585,63176
MERBAU,2319,4747,7066
TENAYAN RAYA,35014,20133,55147
KUANTAN HILIR,3500,3617,7117
RANGSANG,2581,6100,8681
SAIL,7270,2552,9822
SINGINGI,6743,7972,14715
TASIK PUTRI PUYU,2003,5523,7526
PUCUK RANTAU,1783,2715,4498
KUANTAN TENGAH,13599,9329,22928
TEBING TINGGI BARAT,2888,4905,7793
BUKIT RAYA,30135,10460,40595
SENAPELAN,10511,6906,17417
RUMBAI,16179,11664,27843
PEKANBARU KOTA,8588,2758,11346
RANGSANG PESISIR,2067,5108,7175
MARPOYAN DAMAI,37088,15061,52149
PULAUMERBAU,1839,4562,6401
DUMAI KOTA,10345,9291,19636
TEBING TINGGI TIMUR,1589,4186,5775
PAYUNG SEKAKI,21464,18553,40017
SUNGAI SEMBILAN,3944,10744,14688
RUMBAI PESISIR,24020,8242,32262
LIMA PULUH,10507,9741,20248
AIR HANGAT TIMUR,9624,1622,11246
DUMAI SELATAN,12695,9708,22403
BUKIT KAPUR,7090,10694,17784
GUNUNG RAYA,3254,1511,4765
DUMAI BARAT,8634,8526,17160
BUKITKERMAN,5591,1449,7040
KAYU ARO,6688,5817,12505
DUMAI TIMUR,12643,13952,26595
AIR HANGAT,7685,1189,8874
GUNUNG TUJUH,4804,2826,7630
SIULAK MUKAI,1703,4138,5841
MEDANG KAMPAI,2160,2569,4729
AIR HANGAT BARAT,5517,1260,6777
KAYU ARO BARAT,7380,5302,12682
JANGKAT,3823,2325,6148
PANGKALAN JAMBU,2766,1141,3907
GUNUNG KERINCI,5439,1921,7360
SUNGAI TENANG,3572,1763,5335
SITINJAU LAUT,7094,1363,8457
TABIR LINTAS,1732,2476,4208
SIULAK,9457,3211,12668
RENAH PEMBARAP,4952,2115,7067
DEPATI TUJUH,9411,1087,10498
BATANG MERANGIN,2744,1946,4690
BANGKO,15527,9014,24541
MARGO TABIR,3521,3851,7372
KELILING DANAU,11353,2450,13803
PAMENANG SELATAN,2785,2787,5572
DANAU KERINCI,6905,1588,8493
PAMENANG BARAT,3843,5362,9205
TABIR,7757,7323,15080
TABIR ILIR,1901,3670,5571
TABIR BARAT,3337,2746,6083
TABIR TIMUR,1467,3009,4476
PAMENANG,7719,10204,17923
MANDIANGIN,5970,12813,18783
TIANG PUMPUNG,1540,1256,2796
TABIR SELATAN,6435,9787,16222
SUNGAI MANAU,4176,1322,5498
BATANG MASUMAI,3954,1444,5398
AIR HITAM,4078,8358,12436
SAROLANGUN,17727,9566,27293
RENAH PAMENANG,3617,4819,8436
PAUH,3769,8414,12183
SINGKUT,8310,12660,20970
PELAWAN,7793,8655,16448
MUARA TEMBESI,7589,7721,15310
BATANG ASAI,4821,3849,8670
LEMBAH MASURAI,4810,6224,11034
MUARA SIAU,2103,2841,4944
BANGKO  BARAT,2571,3643,6214
NALO TATAN,3176,3784,6960
BATHIN VIII,7002,4897,11899
CERMIN NAN GEDANG,3543,2448,5991
BAJUBANG,6693,12232,18925
TABIR ULU,1889,2501,4390
JAMBI LUAR KOTA,17456,15204,32660
PEMAYUNG,8011,8427,16438
MUARA BULIAN,17517,13529,31046
MARO SEBO ULU,5077,9527,14604
MARO SEBO ILIR,3539,3928,7467
BAHAR UTARA,2705,4563,7268
KUMPEH,5559,6227,11786
BATIN XXIV,4564,9778,14342
TAMAN RAJO,3570,3016,6586
MUARA PAPALIK,2234,3363,5597
MERSAM,6751,7857,14608
LIMUN,5585,4783,10368
MESTONG,7528,13695,21223
KUMPEH ULU,11373,14702,26075
TUNGKAL ULU,2737,4201,6938
TUNGKAL ILIR,16516,15705,32221
SUNGAI GELAM,10668,23702,34370
SUNGAI BAHAR,5289,8710,13999
BETARA,4117,7705,11822
RENAH MENDALUH,2281,3957,6238
SEKERNAN,8551,13151,21702
BAHAR SELATAN,3414,5524,8938
BRAM ITAM,3788,4532,8320
MARO SEBO,5282,5638,10920
TEBING TINGGI,8607,6973,15580
BATANG ASAM,4154,9031,13185
MERLUNG,3325,4559,7884
GERAGAI,4448,8985,13433
SEBERANG KOTA,1896,2316,4212
KUALA BETARA,3531,3124,6655
BERBAK,2056,2864,4920
MUARA SABAK BARAT,3610,5136,8746
MENDAHARA,5514,8133,13647
BATHIN III ULU,1919,2437,4356
SENYERANG,5288,6593,11881
TANAH TUMBUH,3162,5439,8601
DENDANG,3014,6001,9015
RIMBO TENGAH,7962,4803,12765
PENGABUAN,5332,7031,12363
KUALA JAMBI,3044,4451,7495
BATHIN II PELAYANG,888,3187,4075
MUARA SABAK TIMUR,5789,11453,17242
RANTAU RASAU,4989,7801,12790
MENDAHARA ULU,2975,5247,8222
JUJUHAN,4596,4038,8634
PELEPAT,6234,10849,17083
TANAH SEPENGGAL LINTAS,5988,7546,13534
S A D U,3519,4079,7598
NIPAH PANJANG,5961,7281,13242
BUNGO DANI,8162,4587,12749
TEBO TENGAH,9219,9931,19150
TANAH SEPENGGAL,5289,7291,12580
BATHIN III,6653,4369,11022
PELEPAT ILIR,11089,15057,26146
LIMBUR LUBUK MENGKUANG,8303,1842,10145
PASAR MUARO BUNGO,7609,3796,11405
RANTAU PANDAN,2998,2670,5668
BATIN II BABEKO,2382,3401,5783
VII KOTO,3587,6576,10163
RIMBO ULU,7310,14933,22243
TELANAIPURA,29777,20088,49865
PASAR JAMBI,3149,3502,6651
MUARA TABIR,2795,5570,8365
JUJUHAN ILIR,2762,3306,6068
TENGAH ILIR,3432,9269,12701
VII KOTO ILIR,2210,5414,7624
RIMBO BUJANG,14800,20051,34851
SUMAY,2946,7022,9968
TEBO ILIR,6215,8066,14281
TEBO ULU,6341,9787,16128
SUNGAIPENUH,3731,1303,5034
JAMBI SELATAN,33531,35684,69215
SUNGAIBUNGKAL,3837,1278,5115
JAMBI TIMUR,19590,24911,44501
SERAI SERUMPUN,1502,3127,4629
KOTO BARU,3139,694,3833
RIMBO ILIR,5815,8805,14620
KOTA BARU,43981,37230,81211
JELUTUNG,16369,16868,33237
KUMUN DEBAI,3362,1858,5220
PELAYANGAN,4581,2503,7084
LENGKITI,7282,4320,11602
DANAU TELUK,4582,2183,6765
SOSOH BUAY RAYAP,3951,2281,6232
TANAH KAMPUNG,3185,1254,4439
BATURAJA BARAT,11318,7105,18423
MUARA JAYA,2288,664,2952
SEMIDANG AJI,7504,3824,11328
PESISIR BUKIT,5100,1055,6155
TELUK GELAM,0,0,0
PONDOK TINGGI,6970,1819,8789
LUBUK BATANG,9919,5519,15438
HAMPARAN RAWANG,7057,1294,8351
ULU OGAN,3309,770,4079
SINAR PENINJAUAN,6014,6294,12308
LEMPUING,0,0,0
PENGANDONAN,3286,1327,4613
PENINJAUAN,13074,9287,22361
AIR SUGIHAN,0,0,0
BATURAJA TIMUR,30403,16271,46674
LUBUK RAJA,10299,6810,17109
PAMPANGAN,0,0,0
MESUJI RAYA,0,0,0
LEMPUING JAYA,0,0,0
PANGKALAN LAMPAM,0,0,0
CENGAL,0,0,0
TULUNG SELAPAN,0,0,0
TANJUNG LUBUK,0,0,0
RAMBANG,0,0,0
JEJAWI,0,0,0
MESUJI MAKMUR,0,0,0
KELEKAR,0,0,0
SUNGAI MENANG,0,0,0
PEDAMARAN,0,0,0
LEMBAK,0,0,0
MUARA BELIDA,0,0,0
MESUJI,0,0,0
KAYU AGUNG,0,0,0
SIRAH PULAU PADANG,0,0,0
BENAKAT,0,0,0
LUBAI,0,0,0
BELINDA DARAT,0,0,0
PENUKAL UTARA,0,0,0
RAMBANG DANGKU,0,0,0
MUARA ENIM,0,0,0
TANJUNG AGUNG,0,0,0
PEDAMARAN TIMUR,0,0,0
BELIMBING,0,0,0
SUNGAI ROTAN,0,0,0
TANAH ABANG,0,0,0
ABAB,0,0,0
PSEKSU,2205,2101,4306
GELUMBANG,0,0,0
GUMAY ULU,1392,1521,2913
GUMAY TALANG,2223,2681,4904
GUNUNG MEGANG,0,0,0
SEMENDE DARAT TENGAH,0,0,0
TANJUNGSAKTI PUMU,4650,1857,6507
UJAN MAS,0,0,0
TALANG UBI,0,0,0
PENUKAL,0,0,0
LUBAI ULU,0,0,0
KIKIM BARAT,3623,5080,8703
LAWANG KIDUL,0,0,0
SEMENDE DARAT LAUT,0,0,0
SEMENDE DARAT ULU,0,0,0
MERAPI SELATAN,0,0,0
JARAI,6312,4403,10715
PULAUPINANG,0,0,0
KOTA AGUNG,4424,2410,6834
SUKAMERINDU,3258,1350,4608
PAGAR GUNUNG,4380,2913,7293
MERAPI BARAT,6809,4981,11790
MERAPI TIMUR,5860,5925,11785
KARANG JAYA,0,0,0
TANJUNG SAKTI PUMI,5158,2292,7450
TIANG PUMPUNG KEPUNGUT,0,0,0
MUARAPAYANG,1834,2404,4238
KARANG DAPO,0,0,0
TUAH NEGERI,0,0,0
TANJUNGTEBAT,3326,1483,4809
NIBUNG,0,0,0
LAHAT,0,0,0
KIKIM SELATAN,3471,4007,7478
KIKIM TENGAH,2227,2370,4597
RAWAS ILIR,0,0,0
PURWODADI,0,0,0
RUPIT,0,0,0
KIKIM TIMUR,7048,8516,15564
TUGUMULYO,0,0,0
PAJAR BULAN,4695,2141,6836
MULAK ULU,7665,2443,10108
SELANGIT,0,0,0
SEKAYU,20267,17999,38266
SUMBER HARTA,0,0,0
STL ULU TERAWAS,0,0,0
SUNGAI LILIN,0,0,0
LALAN,0,0,0
MEGANG SAKTI,0,0,0
SUKA KARYA,0,0,0
RAWAS ULU,0,0,0
TUNGKAL JAYA,0,0,0
MUARA BELITI,0,0,0
MUARA KELINGI,0,0,0
JAYALOKA,0,0,0
MUARA LAKITAN,0,0,0
LAWANG WETAN,4725,6979,11704
BABAT SUPAT,0,0,0
ULU RAWAS,0,0,0
KELUANG,7653,9078,16731
SEMBAWA,10371,6633,17004
PLAKAT TINGGI,0,0,0
SUMBER MARGA TELANG,5701,6002,11703
BABAT TOMAN,6874,9482,16356
BAYUNG LENCIR,0,0,0
MUARA SUGIHAN,8365,14268,22633
SANGA DESA,0,0,0
BATANG HARI LEKO,0,0,0
BANYUASIN I,14114,13552,27666
TANJUNG LAGO,7175,12596,19771
MAKARTI JAYA,5696,8327,14023
SUAK TAPEH,6057,3414,9471
LAIS,0,0,0
SUNGAI KERUH,0,0,0
TALANG KELAPA,32924,30737,63661
TUNGKAL ILIR,6315,8380,14695
AIR SALEK,5476,13113,18589
RAMBUTAN,11080,10913,21993
BANYUASIN III,19371,14466,33837
JAYAPURA,3653,4309,7962
MUARA PADANG,5059,10856,15915
MUARA TELANG,8231,12020,20251
BELITANG MADANG RAYA,15858,8806,24664
SEMENDAWAI BARAT,6071,4489,10560
MADANG SUKU III,7916,6924,14840
BETUNG,13961,12304,26265
BELITANG JAYA,5685,6716,12401
BELITANG MULYA,7336,5088,12424
MARTAPURA,18924,8413,27337
BUAY MADANG,16800,5633,22433
AIR KUMBANG,4359,8278,12637
RANTAU BAYUR,11553,10119,21672
BUAY PEMUKA PELIUNG,12516,7643,20159
PULAU RIMAU,7831,14483,22314
SEMENDAWAI TIMUR,8709,11847,20556
BELITANG,20440,10959,31399
BANYUASIN II,6299,13648,19947
BELITANG III,11159,10420,21579
BUAY MADANG TIMUR,25069,10296,35365
BUNGA MAYANG,5155,3579,8734
MUARA DUA,0,0,0
MADANG SUKU I,12164,8339,20503
BUANA PEMACA,3712,2744,6456
SINDANG DANAU,4075,1615,5690
SEMENDAWAI SUKU III,11753,10914,22667
BELITANG II,11681,13684,25365
MADANG SUKU II,11062,6549,17611
WARKUK RANAU SELATAN,6058,5819,11877
TIGA DIHAJI,3396,1930,5326
CEMPAKA,8171,5818,13989
BUAY PEMUKA BANGSA RAJA,5242,1877,7119
BUAY SANDANG AJI,5879,3163,9042
BUAY RUNJUNG,3940,2317,6257
BUAY RAWAN,4132,3158,7290
RAMBANG KUANG,0,0,0
LUBUK KELIAT,0,0,0
KISAM TINGGI,7281,3865,11146
BUAY PEMACA,10388,11000,21388
SUNGAI ARE,3608,2317,5925
BANDING AGUNG,6327,5185,11512
PULAU BERINGIN,8505,5917,14422
KISAM ILIR,2621,1505,4126
BUAY PEMATANG RIBU RANAU TENGAH,6485,5499,11984
PEMULUTAN SELATAN,0,0,0
RUNJUNG AGUNG,4181,2091,6272
SIMPANG,3537,3024,6561
MUARA DUA KISAM,6595,2837,9432
RANTAU PANJANG,0,0,0
SUNGAI PINANG,0,0,0
PEMULUTAN BARAT,0,0,0
MEKAKAU ILIR,6229,4923,11152
MUARA KUANG,0,0,0
RANTAU ALAI,0,0,0
INDRALAYA UTARA,0,0,0
KANDIS,0,0,0
INDRALAYA SELATAN,5797,5465,11262
LINTANG KANAN,0,0,0
TEBING TINGGI,0,0,0
PEMULUTAN,0,0,0
PENDOPO BARAT,0,0,0
SALING,0,0,0
MUARA PINANG,0,0,0
TALANG PADANG,0,0,0
PLAJU,24482,21746,46228
KERTAPATI,23192,20737,43929
TANJUNG BATU,13131,10764,23895
TANJUNG RAJA,0,0,0
PAYARAMAN,0,0,0
KEMUNING,22231,20596,42827
SIKAP DALAM,0,0,0
ULU MUSI,0,0,0
INDRALAYA,10312,8945,19257
ILIR TIMUR I,14921,23998,38919
BUKIT KECIL,11929,9431,21360
GANDUS,17009,13804,30813
PASEMAH AIR KERUH,0,0,0
SAKO,0,0,0
PENDOPO,0,0,0
ILIR BARAT II,0,0,0
KALIDONI,0,0,0
DEMPO TENGAH,3982,3741,7723
ILIR BARAT I,37846,30192,68038
LUBUK LINGGAU SELATAN I,4140,3578,7718
ILIR TIMUR II,44260,41162,85422
SEBERANG ULU II,25990,22029,48019
PAGAR ALAM UTARA,10883,9697,20580
DEMPO UTARA,0,0,0
SUKARAMI,37593,36794,74387
LUBUK LINGGAU TIMUR I,9128,5781,14909
LUBUK LINGGAU UTARA II,8457,8323,16780
PAGAR ALAM SELATAN,12743,11880,24623
LUBUK LINGGAU TIMUR II,7461,8773,16234
SEBERANG ULU I,43087,40138,83225
PRABUMULIH SELATAN,0,0,0
SEMATANG BORANG,10095,9480,19575
KEDURANG ILIR,1163,2962,4125
KEDURANG,2269,3389,5658
RAMBANG KPK TENGAH,0,0,0
LUBUK LINGGAU UTARA I,3219,5172,8391
LUBUK LINGGAU SELATAN II,8213,6481,14694
MANNA,3045,3989,7034
ULU MANNA,1549,2612,4161
DEMPO SELATAN,0,0,0
PINO RAYA,2893,6548,9441
KOTA MANNA,7696,6787,14483
LUBUK LINGGAU BARAT I,9041,6624,15665
PRABUMULIH BARAT,0,0,0
PASAR MANNA,5237,3726,8963
PRABUMULIH UTARA,0,0,0
LUBUK LINGGAU BARAT II,6145,5141,11286
PRABUMULIH TIMUR,0,0,0
SEGINIM,2195,5529,7724
PINO,2357,3805,6162
KOTA PADANG,2936,2311,5247
SINDANG BELITI ILIR,2523,1889,4412
CAMBAI,0,0,0
BUNGA MAS,1175,2145,3320
AIR NIPIS,1575,3472,5047
ULOK KUPAI,2321,3735,6056
CURUP TENGAH,10518,6393,16911
CURUP SELATAN,6994,3052,10046
SINDANG BELITI ULU,3196,2775,5971
SINDANG DATARAN,2372,3168,5540
ARMA JAYA,2495,3498,5993
CURUP TIMUR,6122,4478,10600
BERMANI ULU,3445,3253,6698
BINDURIANG,2024,2934,4958
BERMANI ULU RAYA,2640,3001,5641
ENGGANO,353,1119,1472
AIR PADANG,1053,2189,3242
NAPAL PUTIH,1468,2589,4057
PADANG ULAK TANDING,4389,5104,9493
CURUP UTARA,4986,3406,8392
KERKAP,2733,3738,6471
AIR BESI,1836,3124,4960
KETAHUN,7423,16588,24011
CURUP,9087,5179,14266
GIRI MULYA,2545,6080,8625
HULU PALIK,2153,3535,5688
AIR NAPAL,2130,3141,5271
TETAP,1648,2213,3861
SELUPU REJANG,8279,7672,15951
LAIS,2630,4121,6751
KINAL,1295,1452,2747
SINDANG KELINGI,3968,4448,8416
PADANG JAYA,6005,10204,16209
LUAS,1594,1476,3070
KAUR SELATAN,4352,4152,8504
